App,Finding / Claim,Evidence Type,Source URL,Verification Status
DeFlock.me,"Play listing: 100K+ downloads, open source/privacy-first, no data collected/shared",Google Play,https://play.google.com/store/apps/details?id=me.deflock.deflockapp,Verified
DeFlock.me,"Current public Android permissions: coarse/fine location, Internet, notifications, vibration, app-scoped dynamic receiver",Chrome-Stats,https://chrome-stats.com/d/me.deflock.deflockapp,Verified public package metadata
DeFlock.me,"Public source, offline capabilities, OSM mapping/submission architecture",GitHub,https://github.com/FoggedLens/deflock-app,Verified source
FlockHopper,"10K+ downloads; two-route navigation; no account, ads, trackers, or data logging; Geoapify via Cloudflare",Google Play,https://play.google.com/store/apps/details?id=com.dontgetflocked.flockhopper,Verified
FlockHopper,Public camera-aware routing project; GraphHopper; local/privacy-focused design; GPX export,GitHub,https://github.com/flockhopperdev/FlockHopper,Verified source
Watch Tower Pro,580K+ bundled camera DB; offline; Play says Location may be collected/shared,Google Play,https://play.google.com/store/apps/details?id=com.blackfoxmedia.watchtowerapp,Verified
Watch Tower Pro,No account/analytics/tracking/ads; bundled DB; optional background geofencing; direct OpenFreeMap tile requests,Developer privacy policy,https://blackfox-media.com/watchtower,"Developer-declared, specific"
DriveSight Dash Cam,"Background location, camera, mic, foreground camera/mic and AD_ID-related permissions",Chrome-Stats,https://chrome-stats.com/d/com.deerdash,Verified public package metadata
DriveSight Dash Cam,Website privacy policy describes website/store collection including device/usage info,Developer website,https://getdrivesight.com/policies/privacy-policy,Verified website policy; may not be app-specific
Flock Clocker,"Location, storage, SYSTEM_ALERT_WINDOW, ACTIVITY_RECOGNITION, foreground service, Internet, notifications permissions",Chrome-Stats,https://chrome-stats.com/d/app.flockclock.mobile,Verified public package metadata
Flock Clocker,No account free map; location only while app open; no advertising/tracking SDKs; Data Safety says Financial info + Device/other IDs,Google Play,https://play.google.com/store/apps/details?id=app.flockclock.mobile,Verified
Flock U,"Camera map, ALPR-aware route planning, turn-by-turn alerts, community reports",Google Play,https://play.google.com/store/apps/details?id=com.waterview.detour,Verified
Flock U,"No account; connected features can send route/search inputs, random install ID, alert position, reports, notification token, entitlement data",Developer privacy policy,https://www.flockdetour.com/privacy,"Developer-declared, specific"
DarkRoute,"No-install PWA; browser permission model rather than an Android manifest. The optional Trusted Web Activity declares ONLY fine location, coarse location and notifications - no background location, camera, microphone, overlay or advertising ID",Source line,apps/android/app/src/main/AndroidManifest.xml:25-27,Verified in source; checkable by anyone once the curated public tree is published
DarkRoute,"No position, plate or identifier is sent to fetch camera data: the z11 tile address is computed on the device and is ~15 km across, so the origin learns only which square was asked for",Source line,apps/pwa/src/services/cameras/sync.ts:17-22,Verified in source; checkable once the curated public tree is published
DarkRoute,"ALPR-avoiding multi-stop routing: planDetour computes waypoints clear of the counted cameras, and DRIVE asks for explicit consent before any route leaves the device",Source line,packages/core/src/avoidance.ts:131 and apps/pwa/src/features/drive/DriveScreen.tsx:802,Verified in source; implemented but NOT yet deployed to the live site
DarkRoute,GPX 1.1 waypoint export and Garmin Custom POI CSV export of the camera archive,Source line,apps/pwa/src/features/docs/poiExport.ts:71-96,Verified in source; checkable once the curated public tree is published
DarkRoute,LoRa mesh over Meshtastic hardware via Bluetooth; the app flashes no firmware of its own,Source line,apps/pwa/src/features/mesh/MeshRadios.tsx:62,Verified in source; checkable once the curated public tree is published
DarkRoute,Cited public source at github.com/darkcodelabs/darkroute. The curated tree is produced by the public-seed builder as a single new root commit; the private history is never published,GitHub API + source line,https://github.com/darkcodelabs/darkroute and the public-seed builder line 1038,VERIFIED 2026-09-03: the repository is public. Published as a single new root commit, so the private history is not in it and there is no earlier commit to check out
